Amount	BUBBLE	HEAP	
0	3910	2805	
1	801	1448	
2	896	1157	
3	856	1416	
4	670	1365	
5	939	1432	
6	1025	1653	
7	1317	2067	
8	1675	2288	
9	2116	5951	
10	2186	3002	
11	2388	7303	
12	2960	11120	
13	3689	6421	
14	3726	7834	
15	7494	7379	
16	5181	23312	
17	5466	9480	
18	6214	11558	
19	6980	10362	
20	8550	7475	
21	8902	7420	
22	9733	7796	
23	11290	8524	
24	11868	8251	
25	13794	9123	
26	14247	9296	
27	15837	16378	
28	17103	16182	
29	17886	11034	
30	19649	11375	
31	21095	11682	
32	35350	12215	
33	37514	12741	
34	41053	13680	
35	43357	13787	
36	43106	16531	
37	29883	15155	
38	31370	15587	
39	36490	15948	
40	54058	16934	
41	56777	16356	
42	2395358	17251	
43	64657	17735	
44	63151	18051	
45	67850	18917	
46	68838	18907	
47	73026	19454	
48	73558	19952	
49	77745	30447	
50	84238	20090	
51	88755	9946	
52	91021	17471	
53	97332	8137	
54	99475	9064	
55	102770	10383	
56	105910	9431	
57	107554	8958	
58	107068	9854	
59	115276	9264	
60	500617	9384	
61	355956	10528	
62	31731	9481	
63	31596	11917	
64	28254	11120	
65	32286	10269	
66	32030	10121	
67	33477	11317	
68	35996	10399	
69	35889	10058	
70	37997	8875	
71	38159	6800	
72	64789	12106	
73	40585	13311	
74	42841	12752	
75	45137	12671	
76	42681	12609	
77	45389	13312	
78	45024	12995	
79	47313	14048	
80	182235	13159	
81	48051	14511	
82	51939	15671	
83	50786	14521	
84	49413	97051	
85	51837	15720	
86	35865	14905	
87	43180	15756	
88	40416	15084	
89	36511	15931	
90	158528	17181	
91	63182	14916	
92	63731	9534	
93	67950	9366	
94	76890	9478	
95	69544	9498	
96	65559	10120	
97	70859	11178	
98	68242	10249	
99	75111	10246	
